fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
5;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.40625;1.082493543624878;0.011734799180838754;-0.009221656887218052;0.13047011196613312;0.6027474403381348;{'loss': [1.1117591857910156, 1.1090961694717407, 1.112610101699829, 1.1033234596252441, 1.1040663719177246], 'accuracy': [0.3673185408115387, 0.374737948179245, 0.36330580711364746, 0.37206825613975525, 0.3686943054199219], 'val_loss': [1.0887975692749023, 1.0868180990219116, 1.0851982831954956, 1.0841163396835327, 1.082493543624878], 'val_accuracy': [0.40344929695129395, 0.4033018946647644, 0.40418630838394165, 0.4050707519054413, 0.40625]}
5;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4196639060974121;1.0778335332870483;0.01914238998806338;-0.0055791603180056215;0.11871185153722763;0.6254871487617493;{'loss': [1.095841407775879, 1.0963529348373413, 1.0942587852478027, 1.0899308919906616, 1.0908138751983643], 'accuracy': [0.38119104504585266, 0.37932389974594116, 0.3864976465702057, 0.3885776996612549, 0.3864648938179016], 'val_loss': [1.081727385520935, 1.0805898904800415, 1.0796887874603271, 1.0786420106887817, 1.077833890914917], 'val_accuracy': [0.41126179695129395, 0.41420990228652954, 0.41568395495414734, 0.419369101524353, 0.4196639060974121]}
6;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3127948045730591;1.1199207305908203;-0.007771642761209626;-0.013885604270841217;0.042389098554849625;0.869181215763092;{'loss': [1.1733264923095703, 1.164455533027649, 1.1548449993133545, 1.1444377899169922, 1.1354284286499023], 'accuracy': [0.30023255944252014, 0.292878657579422, 0.30280399322509766, 0.3118448555469513, 0.313728392124176], 'val_loss': [1.155748963356018, 1.144208312034607, 1.1347864866256714, 1.1267982721328735, 1.1199208498001099], 'val_accuracy': [0.28920990228652954, 0.2936320900917053, 0.29997050762176514, 0.3073408007621765, 0.3127948045730591]}
6;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.361880898475647;1.0957725048065186;-0.0004573297595252064;0.004896868106454058;0.06701552122831345;0.7099159955978394;{'loss': [1.1300346851348877, 1.1235978603363037, 1.12416672706604, 1.1140470504760742, 1.105123519897461], 'accuracy': [0.3260940909385681, 0.3299102485179901, 0.34486374258995056, 0.3485816419124603, 0.35885089635849], 'val_loss': [1.1139637231826782, 1.1086369752883911, 1.1037811040878296, 1.0994648933410645, 1.0957725048065186], 'val_accuracy': [0.3239976465702057, 0.3307783007621765, 0.3430129587650299, 0.35804834961891174, 0.361880898475647]}
7;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.30969929695129395;1.1164765357971191;-0.010170586492160849;-0.013156419091565036;0.17737933993339539;0.5264960527420044;{'loss': [1.134102463722229, 1.1249488592147827, 1.1273292303085327, 1.119103193283081, 1.1169307231903076], 'accuracy': [0.3282068967819214, 0.33916404843330383, 0.3359866440296173, 0.34663259983062744, 0.33900025486946106], 'val_loss': [1.1292449235916138, 1.125293493270874, 1.1217378377914429, 1.1188960075378418, 1.1164767742156982], 'val_accuracy': [0.2942216992378235, 0.29451650381088257, 0.29775944352149963, 0.3073408007621765, 0.30969929695129395]}
7;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3262087404727936;1.1085020303726196;-0.004979056204837953;-0.009205749362640254;0.18512147665023804;0.4993368983268738;{'loss': [1.1088521480560303, 1.109519362449646, 1.1079505681991577, 1.1042044162750244, 1.0991774797439575], 'accuracy': [0.34663259983062744, 0.3500393033027649, 0.35662344098091125, 0.35714754462242126, 0.3646324574947357], 'val_loss': [1.1145821809768677, 1.1129578351974487, 1.111334204673767, 1.1098524332046509, 1.1085020303726196], 'val_accuracy': [0.3129422068595886, 0.3144162595272064, 0.3191332519054413, 0.32119694352149963, 0.3262087404727936]}
8;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3808962404727936;1.0951123237609863;0.01203643429161559;-0.03531652111625273;0.11318127065896988;0.6580177545547485;{'loss': [1.1122552156448364, 1.1066219806671143, 1.1046010255813599, 1.1018941402435303, 1.0993282794952393], 'accuracy': [0.3333333432674408, 0.3493514060974121, 0.3516443967819214, 0.35662344098091125, 0.3605542480945587], 'val_loss': [1.104961633682251, 1.1020786762237549, 1.0997060537338257, 1.097214698791504, 1.0951123237609863], 'val_accuracy': [0.36733490228652954, 0.36851415038108826, 0.3735259473323822, 0.37632665038108826, 0.3808962404727936]}
8;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.41347289085388184;1.0860095024108887;0.026433441633495668;-0.031481631486860215;0.1050097718834877;0.6386400461196899;{'loss': [1.0969899892807007, 1.0970773696899414, 1.094506859779358, 1.0954838991165161, 1.0930253267288208], 'accuracy': [0.364157497882843, 0.3644031584262848, 0.37511464953422546, 0.36577895283699036, 0.3768671452999115], 'val_loss': [1.0929521322250366, 1.090981364250183, 1.0893784761428833, 1.087868571281433, 1.0860095024108887], 'val_accuracy': [0.3873820900917053, 0.39445754885673523, 0.4006485939025879, 0.40639740228652954, 0.41347289085388184]}
9;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3798643946647644;1.0987277030944824;0.0032462166388581098;0.027355595869193193;0.16262616217136383;0.6102368831634521;{'loss': [1.1245375871658325, 1.1184953451156616, 1.1168051958084106, 1.1077189445495605, 1.1074761152267456], 'accuracy': [0.3342341482639313, 0.339671790599823, 0.33274370431900024, 0.35523125529289246, 0.35352790355682373], 'val_loss': [1.1235367059707642, 1.1154730319976807, 1.109606146812439, 1.1034047603607178, 1.0987277030944824], 'val_accuracy': [0.307193398475647, 0.3229658007621765, 0.3405070900917053, 0.3612912595272064, 0.3798643946647644]}
9;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.39902710914611816;1.084630012512207;0.006135121091618933;0.04298479625318907;0.1691647469997406;0.5994948744773865;{'loss': [1.1073263883590698, 1.1008458137512207, 1.1042083501815796, 1.1024757623672485, 1.1027966737747192], 'accuracy': [0.3550347089767456, 0.3670564591884613, 0.35514935851097107, 0.3616843521595001, 0.36152055859565735], 'val_loss': [1.0952008962631226, 1.092003345489502, 1.0892053842544556, 1.086570143699646, 1.0846298933029175], 'val_accuracy': [0.38517099618911743, 0.3884139060974121, 0.3932783007621765, 0.3981426954269409, 0.39902710914611816]}
0;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.35922759771347046;1.1173017024993896;-0.021568944007004317;-0.08296248729683237;0.11165102571249008;0.6302222013473511;{'loss': [1.1649610996246338, 1.1495821475982666, 1.1293144226074219, 1.1228667497634888, 1.1107538938522339], 'accuracy': [0.322818398475647, 0.33048349618911743, 0.34907299280166626, 0.35302019119262695, 0.3731001019477844], 'val_loss': [1.1401351690292358, 1.1312189102172852, 1.1249721050262451, 1.1206235885620117, 1.1173014640808105], 'val_accuracy': [0.307193398475647, 0.3191332519054413, 0.3344634473323822, 0.35392099618911743, 0.35922759771347046]}
