fold_no;latitudes;longitudes;radius_basis_func;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
5;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.30070754885673523;1.1205670833587646;-0.0057074537568434424;-0.029210172052079854;0.09743078052997589;0.6363654732704163;{'loss': [1.1693103313446045, 1.1627529859542847, 1.1481021642684937, 1.156632900238037, 1.1452522277832031], 'accuracy': [0.3134171962738037, 0.3072589039802551, 0.32750260829925537, 0.3062106966972351, 0.3142033517360687], 'val_loss': [1.1303664445877075, 1.1277188062667847, 1.1251226663589478, 1.1228022575378418, 1.1205670833587646], 'val_accuracy': [0.28596699237823486, 0.2883254587650299, 0.2900943458080292, 0.2983490526676178, 0.30070754885673523]}
5;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3142688572406769;1.1128350496292114;-0.0008371664813598837;-0.02062064250225045;0.10685939341783524;0.5543063879013062;{'loss': [1.1390032768249512, 1.1294565200805664, 1.1270794868469238, 1.1336584091186523, 1.121138334274292], 'accuracy': [0.3235718011856079, 0.33569180965423584, 0.3322851061820984, 0.32566824555397034, 0.3285508453845978], 'val_loss': [1.1183854341506958, 1.1167055368423462, 1.1154186725616455, 1.1143145561218262, 1.1128350496292114], 'val_accuracy': [0.30306604504585266, 0.30778300762176514, 0.3113207519054413, 0.3154481053352356, 0.3142688572406769]}
6;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.31721699237823486;1.1691687107086182;-0.053218850366193886;-0.098436069738124;0.03052491694688797;0.9060183167457581;{'loss': [1.2287626266479492, 1.2145811319351196, 1.1891593933105469, 1.1882448196411133, 1.165141224861145], 'accuracy': [0.31695494055747986, 0.3198375403881073, 0.32940250635147095, 0.32337525486946106, 0.3316954970359802], 'val_loss': [1.2247377634048462, 1.2074105739593506, 1.1932519674301147, 1.1795886754989624, 1.1691687107086182], 'val_accuracy': [0.30896225571632385, 0.3042452931404114, 0.3113207519054413, 0.3125, 0.31721699237823486]}
6;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3237028419971466;1.1312626600265503;-0.030807508707303748;-0.0473394837589528;0.0559392124414444;0.8068045973777771;{'loss': [1.158089280128479, 1.1518795490264893, 1.1486735343933105, 1.1370606422424316, 1.1313817501068115], 'accuracy': [0.33431604504585266, 0.33444705605506897, 0.33752620220184326, 0.3373296558856964, 0.3456498980522156], 'val_loss': [1.1606391668319702, 1.151996374130249, 1.1440459489822388, 1.1371034383773804, 1.1312625408172607], 'val_accuracy': [0.31721699237823486, 0.3195754587650299, 0.3237028419971466, 0.3213443458080292, 0.3237028419971466]}
7;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.2853773534297943;1.1423574686050415;-0.03917209781429433;-0.015419654568687649;0.10038955509662628;0.5779367089271545;{'loss': [1.1587650775909424, 1.1482977867126465, 1.1499563455581665, 1.1402193307876587, 1.130064606666565], 'accuracy': [0.3263888955116272, 0.3243579566478729, 0.32258909940719604, 0.3221305012702942, 0.3281577527523041], 'val_loss': [1.1642554998397827, 1.1579290628433228, 1.1518951654434204, 1.14644193649292, 1.1423574686050415], 'val_accuracy': [0.2582547068595886, 0.2688679099082947, 0.2741745412349701, 0.2794811427593231, 0.2853773534297943]}
7;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3012971580028534;1.1262223720550537;-0.02740045289906522;-0.00971237471381216;0.13850541412830353;0.5338785648345947;{'loss': [1.1346633434295654, 1.1281893253326416, 1.127197265625, 1.1183878183364868, 1.1195648908615112], 'accuracy': [0.3239648938179016, 0.3275681436061859, 0.3281577527523041, 0.34859800338745117, 0.32579925656318665], 'val_loss': [1.1381186246871948, 1.134783387184143, 1.131866693496704, 1.128982663154602, 1.1262223720550537], 'val_accuracy': [0.28183960914611816, 0.2900943458080292, 0.2912735939025879, 0.29481130838394165, 0.3012971580028534]}
8;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.37146225571632385;1.0939946174621582;-0.007090920659667457;-0.003224685124941104;0.1692332923412323;0.6139318943023682;{'loss': [1.1109862327575684, 1.1115913391113281, 1.1023101806640625, 1.1061562299728394, 1.1019706726074219], 'accuracy': [0.339229553937912, 0.34479820728302, 0.3446671962738037, 0.34126049280166626, 0.3491876423358917], 'val_loss': [1.0972723960876465, 1.096093773841858, 1.0952407121658325, 1.0944349765777588, 1.0939946174621582], 'val_accuracy': [0.3590801954269409, 0.36320754885673523, 0.3661556541919708, 0.3667452931404114, 0.37146225571632385]}
8;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.37853774428367615;1.0925291776657104;-0.004513533033160731;-0.008996755355640776;0.19310659170150757;0.592284083366394;{'loss': [1.104264736175537, 1.102312445640564, 1.0987886190414429, 1.0997159481048584, 1.0929107666015625], 'accuracy': [0.33752620220184326, 0.34807389974594116, 0.3460429906845093, 0.34984275698661804, 0.36556604504585266], 'val_loss': [1.093740701675415, 1.0933316946029663, 1.0931766033172607, 1.0929151773452759, 1.0925291776657104], 'val_accuracy': [0.37735849618911743, 0.380306601524353, 0.3820754587650299, 0.37735849618911743, 0.37853774428367615]}
9;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3649764060974121;1.0782350301742554;-0.007000926519936502;0.04907418767477625;0.09366997331380844;0.7062644362449646;{'loss': [1.110480546951294, 1.1059796810150146, 1.1018834114074707, 1.1049902439117432, 1.097365379333496], 'accuracy': [0.3631420433521271, 0.35626310110092163, 0.36320754885673523, 0.35397014021873474, 0.36170074343681335], 'val_loss': [1.0854251384735107, 1.0833745002746582, 1.0816541910171509, 1.0798330307006836, 1.078235149383545], 'val_accuracy': [0.3508254587650299, 0.34728774428367615, 0.3508254587650299, 0.35731130838394165, 0.3649764060974121]}
9;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3767688572406769;1.0727903842926025;0.0023222658267795728;0.04952657180749564;0.08806116878986359;0.6913369297981262;{'loss': [1.1013027429580688, 1.0950565338134766, 1.0963493585586548, 1.0950653553009033, 1.094886064529419], 'accuracy': [0.3585560917854309, 0.3711346983909607, 0.37277254462242126, 0.36504194140434265, 0.37133124470710754], 'val_loss': [1.0769319534301758, 1.0753508806228638, 1.0742254257202148, 1.073310375213623, 1.0727903842926025], 'val_accuracy': [0.3708726465702057, 0.3738207519054413, 0.37558960914611816, 0.3732311427593231, 0.3767688572406769]}
0;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.36173349618911743;1.1065126657485962;0.006221197010155409;-0.016951148390464525;0.1170569509267807;0.7177871465682983;{'loss': [1.1252996921539307, 1.1243774890899658, 1.1186665296554565, 1.1123368740081787, 1.1087697744369507], 'accuracy': [0.33981919288635254, 0.34394654631614685, 0.35062894225120544, 0.3579828441143036, 0.36391180753707886], 'val_loss': [1.11819589138031, 1.1142057180404663, 1.1110317707061768, 1.1084368228912354, 1.1065127849578857], 'val_accuracy': [0.3515625, 0.35392099618911743, 0.3581957519054413, 0.3611438572406769, 0.36173349618911743]}
0;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.36851415038108826;1.1012006998062134;0.01058364475477842;-0.024421301328177505;0.1368170529603958;0.6306849122047424;{'loss': [1.1055659055709839, 1.101383924484253, 1.099014163017273, 1.0947777032852173, 1.0929300785064697], 'accuracy': [0.37393540143966675, 0.3790454566478729, 0.3742629587650299, 0.3829762935638428, 0.3912310004234314], 'val_loss': [1.1049576997756958, 1.103661060333252, 1.1026254892349243, 1.101945400238037, 1.1012005805969238], 'val_accuracy': [0.36025944352149963, 0.3635023534297943, 0.36586084961891174, 0.3683667480945587, 0.36851415038108826]}
1;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.32679834961891174;1.1592042446136475;-0.07488761167302546;-0.04115555328428713;0.011144834570586681;0.8962387442588806;{'loss': [1.2409440279006958, 1.2264398336410522, 1.195783257484436, 1.1824696063995361, 1.1723411083221436], 'accuracy': [0.30517885088920593, 0.299642950296402, 0.31687304377555847, 0.33126965165138245, 0.31747904419898987], 'val_loss': [1.213786005973816, 1.1965914964675903, 1.1824291944503784, 1.170477271080017, 1.1592042446136475], 'val_accuracy': [0.3222287595272064, 0.32414504885673523, 0.32797759771347046, 0.32753539085388184, 0.32679834961891174]}
1;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3642393946647644;1.1218611001968384;-0.027121920472264506;-0.021365066446169322;0.04580899327993393;0.85161292552948;{'loss': [1.1603062152862549, 1.1567407846450806, 1.1464745998382568, 1.1383668184280396, 1.1379393339157104], 'accuracy': [0.32237619161605835, 0.32137709856033325, 0.33469274640083313, 0.3339884579181671, 0.3379684090614319], 'val_loss': [1.150073766708374, 1.1416245698928833, 1.134472370147705, 1.1278610229492188, 1.1218609809875488], 'val_accuracy': [0.33284199237823486, 0.34139150381088257, 0.34846699237823486, 0.35878539085388184, 0.3642393946647644]}
2;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.34433960914611816;1.1129975318908691;-0.019795955253335468;-0.002927696465992121;0.1186315268278122;0.6947969794273376;{'loss': [1.133518934249878, 1.1209266185760498, 1.119749665260315, 1.1135302782058716, 1.1099742650985718], 'accuracy': [0.32579925656318665, 0.34063810110092163, 0.3368383049964905, 0.3435862064361572, 0.3496953547000885], 'val_loss': [1.1187340021133423, 1.1169534921646118, 1.1154612302780151, 1.1140012741088867, 1.1129976511001587], 'val_accuracy': [0.3363797068595886, 0.33947524428367615, 0.33829599618911743, 0.34139150381088257, 0.34433960914611816]}
2;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3522995412349701;1.111022710800171;-0.01911111964119632;-0.0035771922004615275;0.11551414430141449;0.7223724126815796;{'loss': [1.1125988960266113, 1.10049307346344, 1.100813627243042, 1.0995442867279053, 1.0987868309020996], 'accuracy': [0.34725499153137207, 0.3641411066055298, 0.3706105947494507, 0.3651401996612549, 0.3690546452999115], 'val_loss': [1.1123491525650024, 1.1117048263549805, 1.1115291118621826, 1.1112103462219238, 1.1110225915908813], 'val_accuracy': [0.34802475571632385, 0.3505306541919708, 0.3515625, 0.35288915038108826, 0.3522995412349701]}
3;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.35878539085388184;1.0939748287200928;-0.0036585737923459758;0.011918517668895456;0.10684380680322647;0.6015399098396301;{'loss': [1.1110868453979492, 1.1085840463638306, 1.1073219776153564, 1.101120948791504, 1.0975817441940308], 'accuracy': [0.3424561023712158, 0.3410475552082062, 0.3498591482639313, 0.35952240228652954, 0.36694180965423584], 'val_loss': [1.1059675216674805, 1.1027806997299194, 1.0994850397109985, 1.09695303440094, 1.0939748287200928], 'val_accuracy': [0.3254716992378235, 0.32753539085388184, 0.3354952931404114, 0.3478773534297943, 0.35878539085388184]}
3;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.39003539085388184;1.0853068828582764;0.002150959100701487;0.020132134872767722;0.10211717337369919;0.6567031741142273;{'loss': [1.0994278192520142, 1.0967739820480347, 1.093870759010315, 1.0949627161026, 1.0890079736709595], 'accuracy': [0.36759695410728455, 0.37280529737472534, 0.3815186023712158, 0.38119104504585266, 0.3845813572406769], 'val_loss': [1.091687798500061, 1.0896992683410645, 1.0878303050994873, 1.086635947227478, 1.0853066444396973], 'val_accuracy': [0.3676297068595886, 0.37102004885673523, 0.3806014060974121, 0.3816332519054413, 0.39003539085388184]}
4;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3579009473323822;1.1268986463546753;-0.010679806631437649;-0.16307614913336782;0.022335093468427658;0.9500065445899963;{'loss': [1.3086179494857788, 1.2537026405334473, 1.2200380563735962, 1.2103922367095947, 1.1936826705932617], 'accuracy': [0.3458464443683624, 0.34650155901908875, 0.3510875403881073, 0.34150615334510803, 0.35302019119262695], 'val_loss': [1.2002111673355103, 1.1727744340896606, 1.1534420251846313, 1.1386560201644897, 1.1268985271453857], 'val_accuracy': [0.3505306541919708, 0.3525943458080292, 0.35392099618911743, 0.3542158007621765, 0.3579009473323822]}
4;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.377505898475647;1.0962156057357788;0.01916295164473669;-0.07115530347967426;0.044909823685884476;0.9007033705711365;{'loss': [1.1860202550888062, 1.1733754873275757, 1.1533695459365845, 1.1524347066879272, 1.1456811428070068], 'accuracy': [0.337165892124176, 0.34568265080451965, 0.3539373576641083, 0.350334107875824, 0.3602758049964905], 'val_loss': [1.117560625076294, 1.111026644706726, 1.1053822040557861, 1.1003402471542358, 1.096215844154358], 'val_accuracy': [0.3608490526676178, 0.36482900381088257, 0.36880895495414734, 0.3727889060974121, 0.377505898475647]}
5;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.35141509771347046;1.1047393083572388;0.0077664789718627295;-0.01422120090901086;0.0388074666261673;0.6947859525680542;{'loss': [1.1401656866073608, 1.138752818107605, 1.1240085363388062, 1.1280924081802368, 1.128410816192627], 'accuracy': [0.33282560110092163, 0.3364943563938141, 0.3525943458080292, 0.3439301550388336, 0.33813220262527466], 'val_loss': [1.1315096616744995, 1.12295401096344, 1.1160387992858887, 1.1088639497756958, 1.1047393083572388], 'val_accuracy': [0.32340800762176514, 0.32827240228652954, 0.3349056541919708, 0.341244101524353, 0.35141509771347046]}
5;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3832547068595886;1.087192177772522;0.028307783527174914;-0.008348914097910172;0.044315896928310394;0.7211421728134155;{'loss': [1.123001217842102, 1.1107932329177856, 1.1173423528671265, 1.107865333557129, 1.1088383197784424], 'accuracy': [0.3421940505504608, 0.3586379587650299, 0.35107114911079407, 0.3623722493648529, 0.3562139570713043], 'val_loss': [1.1006042957305908, 1.096650242805481, 1.0928432941436768, 1.0898289680480957, 1.0871922969818115], 'val_accuracy': [0.3583431541919708, 0.36659789085388184, 0.3738207519054413, 0.38045400381088257, 0.3832547068595886]}
6;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.35731130838394165;1.115485429763794;-0.0009947590830952572;0.007544510567583696;0.02020176313817501;0.731027364730835;{'loss': [1.202083706855774, 1.1946369409561157, 1.1629825830459595, 1.1624486446380615, 1.155875563621521], 'accuracy': [0.30501505732536316, 0.30067479610443115, 0.3319903016090393, 0.3285508453845978, 0.32145899534225464], 'val_loss': [1.1599571704864502, 1.1459745168685913, 1.1341453790664673, 1.1246724128723145, 1.1154855489730835], 'val_accuracy': [0.32119694352149963, 0.328125, 0.3347582519054413, 0.34242334961891174, 0.35731130838394165]}
6;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3920990526676178;1.0875506401062012;0.0010255833284655647;0.02665505165797178;0.030678819864988327;0.6684694886207581;{'loss': [1.1450040340423584, 1.1391160488128662, 1.1314866542816162, 1.123413324356079, 1.1124179363250732], 'accuracy': [0.3375425934791565, 0.33387380838394165, 0.34091654419898987, 0.35405200719833374, 0.3617662489414215], 'val_loss': [1.1075544357299805, 1.1016100645065308, 1.0963493585586548, 1.091780424118042, 1.0875506401062012], 'val_accuracy': [0.36630305647850037, 0.37219929695129395, 0.37897995114326477, 0.3854658007621765, 0.3920990526676178]}
7;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3747051954269409;1.0982178449630737;-0.021752728469009296;0.0184621340258216;0.10272146016359329;0.7142049670219421;{'loss': [1.1260924339294434, 1.1212936639785767, 1.1166433095932007, 1.1114920377731323, 1.1109267473220825], 'accuracy': [0.3431767523288727, 0.34512579441070557, 0.34538784623146057, 0.3537735939025879, 0.34894195199012756], 'val_loss': [1.108525276184082, 1.1051627397537231, 1.1026757955551147, 1.1002005338668823, 1.0982177257537842], 'val_accuracy': [0.356869101524353, 0.3611438572406769, 0.364681601524353, 0.3671875, 0.3747051954269409]}
7;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.39637380838394165;1.0920666456222534;-0.013275455869976556;0.017549837524807793;0.10902787744998932;0.7025750279426575;{'loss': [1.1035047769546509, 1.110713005065918, 1.100884199142456, 1.101852297782898, 1.0966598987579346], 'accuracy': [0.36346960067749023, 0.3461248576641083, 0.3619300425052643, 0.3662703037261963, 0.3642393946647644], 'val_loss': [1.096948266029358, 1.095412015914917, 1.094009518623352, 1.0930124521255493, 1.0920666456222534], 'val_accuracy': [0.380306601524353, 0.3808962404727936, 0.3894457519054413, 0.39534199237823486, 0.39637380838394165]}
8;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.375;1.0938695669174194;0.003606978275564882;-0.017029234799372614;0.17242203652858734;0.5553425550460815;{'loss': [1.1172782182693481, 1.1174007654190063, 1.1082184314727783, 1.1070640087127686, 1.1026142835617065], 'accuracy': [0.3464360535144806, 0.3427509069442749, 0.3577207922935486, 0.36039045453071594, 0.36407560110092163], 'val_loss': [1.1020028591156006, 1.0994834899902344, 1.097674012184143, 1.0955419540405273, 1.0938695669174194], 'val_accuracy': [0.3552476465702057, 0.3612912595272064, 0.3639445900917053, 0.37219929695129395, 0.375]}
8;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3969634473323822;1.087719440460205;0.016258720106530393;-0.020801603532516214;0.1570151448249817;0.6219484806060791;{'loss': [1.0977222919464111, 1.0959134101867676, 1.1010069847106934, 1.0943613052368164, 1.097409725189209], 'accuracy': [0.3749672472476959, 0.3784230947494507, 0.3654022514820099, 0.38752949237823486, 0.3752948045730591], 'val_loss': [1.092628836631775, 1.0911355018615723, 1.089752435684204, 1.0887844562530518, 1.087719202041626], 'val_accuracy': [0.3772110939025879, 0.3810436427593231, 0.38856130838394165, 0.39268869161605835, 0.3969634473323822]}
9;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3088148534297943;1.1071618795394897;0.006015802692290571;0.0031146758551936883;0.19130006432533264;0.5072170495986938;{'loss': [1.1243845224380493, 1.121898889541626, 1.11822509765625, 1.115220308303833, 1.115580677986145], 'accuracy': [0.3183634579181671, 0.3234735429286957, 0.33182650804519653, 0.3310239911079407, 0.33413589000701904], 'val_loss': [1.121383786201477, 1.117106556892395, 1.1134052276611328, 1.1100752353668213, 1.1071618795394897], 'val_accuracy': [0.29377949237823486, 0.29702240228652954, 0.3024764060974121, 0.3054245412349701, 0.3088148534297943]}
9;slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3497936427593231;1.0960205793380737;0.01741743044682152;0.007504940329664754;0.2074163258075714;0.478550523519516;{'loss': [1.1128592491149902, 1.1051584482192993, 1.1072344779968262, 1.106141448020935, 1.1028553247451782], 'accuracy': [0.3357082009315491, 0.3473532497882843, 0.34442150592803955, 0.3447818458080292, 0.34833595156669617], 'val_loss': [1.1042680740356445, 1.1019022464752197, 1.0997542142868042, 1.0978971719741821, 1.0960205793380737], 'val_accuracy': [0.3181014060974121, 0.32532429695129395, 0.33387380838394165, 0.3415389060974121, 0.3497936427593231]}
0;slice(69, 46, None);slice(61, 85, None);16;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3447449803352356;1.040225863456726;-0.006937155545819455;-0.020040012859311285;0.043735846877098083;0.6291520595550537;{'loss': [1.0719480514526367, 1.062413215637207, 1.0499721765518188, 1.041735291481018, 1.0388286113739014], 'accuracy': [0.30383172631263733, 0.325357049703598, 0.3353314995765686, 0.35124310851097107, 0.36516886949539185], 'val_loss': [1.0549312829971313, 1.0476877689361572, 1.0439828634262085, 1.0415964126586914, 1.040225863456726], 'val_accuracy': [0.3092570900917053, 0.31994399428367615, 0.33192068338394165, 0.33925414085388184, 0.3447449803352356]}
