fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.3752948045730591;1.104560375213623;-0.05044563872878167;-0.0556988458553858;0.09168294817209244;0.6607617139816284;{'loss': [1.068037748336792, 1.0642850399017334, 1.0651469230651855, 1.0647542476654053, 1.0636687278747559], 'accuracy': [0.4298185408115387, 0.43743449449539185, 0.43265199661254883, 0.43622249364852905, 0.4375491440296173], 'val_loss': [1.0980223417282104, 1.0997878313064575, 1.101884126663208, 1.1038751602172852, 1.104560375213623], 'val_accuracy': [0.38045400381088257, 0.37780070304870605, 0.3735259473323822, 0.3723466992378235, 0.3752948045730591]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.36512380838394165;1.1109825372695923;-0.055673878070210944;-0.06097670845406658;0.08063994348049164;0.6853551864624023;{'loss': [1.059565544128418, 1.061042308807373, 1.0643731355667114, 1.0590256452560425, 1.0613930225372314], 'accuracy': [0.43964555859565735, 0.44121789932250977, 0.4363207519054413, 0.4392852485179901, 0.4368448555469513], 'val_loss': [1.1062488555908203, 1.108007788658142, 1.1081387996673584, 1.1096844673156738, 1.1109826564788818], 'val_accuracy': [0.37337854504585266, 0.3686615526676178, 0.36925119161605835, 0.3686615526676178, 0.36512380838394165]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.33977004885673523;1.099115014076233;-0.014852775213476834;-0.021656898372206856;0.15799091756343842;0.5618005990982056;{'loss': [1.1154569387435913, 1.1070764064788818, 1.100751519203186, 1.0970267057418823, 1.0922664403915405], 'accuracy': [0.3212296962738037, 0.3385089039802551, 0.3585069477558136, 0.36916929483413696, 0.3796350955963135], 'val_loss': [1.1119604110717773, 1.1089959144592285, 1.105581521987915, 1.1024545431137085, 1.099115014076233], 'val_accuracy': [0.307193398475647, 0.3120577931404114, 0.3244398534297943, 0.3313679099082947, 0.33977004885673523]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.403744101524353;1.0806068181991577;-0.02536658524543634;0.0020806326411177438;0.0796249732375145;0.7165939807891846;{'loss': [1.0894567966461182, 1.0851166248321533, 1.0848259925842285, 1.0824177265167236, 1.0796902179718018], 'accuracy': [0.3852528929710388, 0.394621342420578, 0.4032691419124603, 0.41126179695129395, 0.41157299280166626], 'val_loss': [1.0965675115585327, 1.0937947034835815, 1.0898910760879517, 1.083454966545105, 1.0806069374084473], 'val_accuracy': [0.356869101524353, 0.3735259473323822, 0.3943101465702057, 0.4094929099082947, 0.403744101524353]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.3954893946647644;1.0725607872009277;-0.033118231974444204;0.013651779854007645;0.0612843781709671;0.7555752992630005;{'loss': [1.077488660812378, 1.0735431909561157, 1.0743111371994019, 1.0742100477218628, 1.0715867280960083], 'accuracy': [0.4185010492801666, 0.422661155462265, 0.42498689889907837, 0.42519980669021606, 0.4282953441143036], 'val_loss': [1.0774472951889038, 1.0761040449142456, 1.0745691061019897, 1.0734572410583496, 1.0725607872009277], 'val_accuracy': [0.40005895495414734, 0.40123820304870605, 0.3969634473323822, 0.39711084961891174, 0.3954893946647644]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.39637380838394165;1.0697968006134033;-0.03649272224449454;0.014927660010883383;0.05395562946796417;0.7686240077018738;{'loss': [1.0675243139266968, 1.066594123840332, 1.0673370361328125, 1.0607423782348633, 1.0661965608596802], 'accuracy': [0.4345518946647644, 0.4315546452999115, 0.4328649044036865, 0.4485226571559906, 0.43612420558929443], 'val_loss': [1.072556972503662, 1.0719529390335083, 1.0710800886154175, 1.070278286933899, 1.0697969198226929], 'val_accuracy': [0.4059551954269409, 0.3996167480945587, 0.3984375, 0.39784789085388184, 0.39637380838394165]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.41981130838394165;1.0792651176452637;0.034738687200972916;-0.00043611715426033516;0.039874088019132614;0.6391459703445435;{'loss': [1.1151573657989502, 1.110968828201294, 1.1029562950134277, 1.0987513065338135, 1.0956509113311768], 'accuracy': [0.3454861044883728, 0.3418009579181671, 0.3640100955963135, 0.3722156584262848, 0.37401729822158813], 'val_loss': [1.1068689823150635, 1.0980851650238037, 1.0902884006500244, 1.0824815034866333, 1.0792651176452637], 'val_accuracy': [0.3262087404727936, 0.3455188572406769, 0.37116745114326477, 0.400943398475647, 0.41981130838394165]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.46005305647850037;1.0654150247573853;0.045083736102122005;-0.008766767880493747;0.018646173179149628;0.8044846653938293;{'loss': [1.0873377323150635, 1.0817131996154785, 1.0854390859603882, 1.0809741020202637, 1.0797514915466309], 'accuracy': [0.39650484919548035, 0.40084514021873474, 0.4018114507198334, 0.4015657901763916, 0.41117990016937256], 'val_loss': [1.0753605365753174, 1.0731323957443237, 1.0702627897262573, 1.0667378902435303, 1.0654150247573853], 'val_accuracy': [0.4329304099082947, 0.44442805647850037, 0.4579893946647644, 0.4613797068595886, 0.46005305647850037]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.46565449237823486;1.0576714277267456;0.039634324899629855;-0.010535483579681143;0.013970400206744671;0.8569079041481018;{'loss': [1.0786842107772827, 1.0776453018188477, 1.07411789894104, 1.0736891031265259, 1.0764832496643066], 'accuracy': [0.4182389974594116, 0.40313810110092163, 0.41630634665489197, 0.4211871027946472, 0.41455385088920593], 'val_loss': [1.0646781921386719, 1.0612022876739502, 1.060014009475708, 1.0586434602737427, 1.0576715469360352], 'val_accuracy': [0.46034789085388184, 0.46300119161605835, 0.4650648534297943, 0.46477004885673523, 0.46565449237823486]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.47110849618911743;1.0546700954437256;0.03885417095300476;-0.0037944863892795224;0.014728921465575695;0.8466902375221252;{'loss': [1.073045253753662, 1.070604920387268, 1.0667588710784912, 1.0678316354751587, 1.0624046325683594], 'accuracy': [0.4180096983909607, 0.43175119161605835, 0.43114519119262695, 0.43170204758644104, 0.4322097599506378], 'val_loss': [1.0572484731674194, 1.0548017024993896, 1.055259346961975, 1.055597186088562, 1.054669976234436], 'val_accuracy': [0.4694870412349701, 0.4660966992378235, 0.4724351465702057, 0.4714033007621765, 0.47110849618911743]}
